IATA,Countries,Cities
QMK, Groenlandia,Niaqornaarsuk
QOW, Nigeria,Owerri
QPW, Groenlandia,Kangaatsiaq
QRO, Mexico,Santiago de Queretaro
QRW, Nigeria,Warri
QRY, Groenlandia,Ikerasaarsuk
QSF, Argelia,Setif
QSZ, China,Yarkant (Shache)
QUO, Nigeria,Uyo
QUP, Groenlandia,Saqqaq
QUV, Groenlandia,Aappilattoq
QUW, Groenlandia,Ammassivik
RAB, Papua Nueva Guinea,Rabaul
RAE, Arabia Saudita,Arar
RAH, Arabia Saudita,Rafha
RAI, Cabo Verde,Praia
RAJ, India,Rajkot
RAK, Marruecos,Marrakech
RAO, Brasil,Ribeirao Preto
RAP, Estados Unidos,Rapid City
RAQ, Indonesia,Raha
RAR, Islas Cook,Rarotonga
RAS, Corri,Rasht
RBA, Marruecos,Rabat
RBQ, Bolivia,Rurrenabaque
RBR, Brasil,Rio Branco
RBV, Islas Salomon,Ramata Island
RBY, Estados Unidos,Ruby
RCB, Sudafrica,Richards Bay
RCH, Colombia,Riohacha
RCM, Australia,Richmond
RCU, Argentina,Rio Cuarto
RDD, Estados Unidos,Redding
RDM, Estados Unidos,Redmond
RDN, Malasia,Redang
RDP, India,Durgapur
RDU, Estados Unidos,Raleigh
RDV, Estados Unidos,Red Devil
RDZ, Francia,Rodez
REA, Polinesia frances,Reao
REC, Brasil,Recife
REG, Italia,Regio de Calabria
REL, Argentina,Trelew
REN, Rusia,Oremburgo
REP, Camboya,Siem Riep
RES, Argentina,Resistencia
RET, Noruega,Rst
REU, Espana,Reus
REX, Mexico,Reynosa
RFD, Estados Unidos,Chicago
RFP, Polinesia frances,Raiatea
RGA, Argentina,Rio Grande
RGI, Polinesia frances,Rangiroa
RGK, Rusia,Gorno-Altaisk
RGL, Argentina,Rio Gallegos
RGN, Myanmar (Burma),Rangun
RGS, Espana,Burgos
RHD, Argentina,Termas de Rio Hondo
RHI, Estados Unidos,Rhinelander
RHO, Grecia,Rhodes
RHR, Emiratos Arabes Unidos,Al Hamra
RHT, China,Alxa Right Banner
RIA, Brasil,Santa Maria
RIB, Bolivia,Riberalta
RIC, Estados Unidos,Richmond
RIS, Japon,Rishiri
RIW, Estados Unidos,Riverton
RIX, Letonia,Riga
RIY, Yemen,Riyan
RIZ, China,Rizhao
RJA, India,Rajahmundry
RJB, Nepal,Rajbiraj
RJK, Croacia,Rijeka
RJL, Espana,Logrono
RJN, Corri,Rafsanjan
RKA, Polinesia frances,Aratika
RKD, Estados Unidos,Rockland
RKE, Dinamarca,Roskilde
RKS, Estados Unidos,Rock Springs
RKT, Emiratos Arabes Unidos,Emirato de Ras al-Jaima
RKV, Islandia,Reikiavik
RKZ, China,Shigatse
RLG, Alemania,Rostock
RLK, China,Bayannur
RMA, Australia,Roma
RMF, Egipto,Marsa Alam
RMI, Italia,Rimini
RML, Sri Lanka,Ratmalana
RMQ, Taiwan,Taichung
RMT, Polinesia frances,Rimatara
RMU, Espana,Region of Murcia
RMZ, Rusia,
RNA, Islas Salomon,Arona
RNB, Suecia,Ronneby
RNI, Nicaragua,Corn Island
RNJ, Japon,Yoron
RNL, Islas Salomon,Isla de Rennell
RNN, Dinamarca,Bornholm
RNO, Estados Unidos,Reno
RNS, Francia,Rennes
ROA, Estados Unidos,Roanoke
ROB, Liberia,Monrovia
ROC, Estados Unidos,Rochester
ROI, Tailandia,Provincia de Roi Et
ROK, Australia,Rockhampton
ROO, Brasil,Rondonopolis
ROR, Palau,Koror
ROS, Argentina,Rosario
ROT, Nueva Zelanda,Rotorua
ROV, Rusia,Rostov del Don
ROW, Estados Unidos,Roswell
RPR, India,Raipur
RQA, China,Ruoqiang Loulan
RRG, Isla mauricio,Rodrigues
RRR, Polinesia frances,Raroia
RRS, Noruega,Rros
RSA, Argentina,Santa Rosa
RSD, Bahamas,Rock Sound
RSH, Estados Unidos,Russian Mission
RSS, Sudan,Roseires
RST, Estados Unidos,Rochester
RSU, Corea del Sur,Yeosu
RSW, Estados Unidos,Fort Myers
RTA, Fiji,Rotuma
RTB, Honduras,Roatan
RTG, Indonesia,Ruteng
RTI, Indonesia,Rote Island
RTM, Paises Bajos,Roterdam
RTW, Rusia,Saratov
RUH, Arabia Saudita,Riad
RUN, Francia,Saint-Denis
RUP, India,Rupsi
RUR, Polinesia frances,Rurutu
RUS, Islas Salomon,Marau Sound
RUT, Estados Unidos,Rutland
RVD, Brasil,Rio Verde
RVE, Colombia,Saravena
RVK, Noruega,Rrvik
RVN, Finlandia,Rovaniemi
RVV, Polinesia frances,Raivavae
RXS, Filipinas,Roxas
RYK, Pakistan,Rahim Yar Khan
RYL, Zambia,Royal
RZE, Polonia,Rzeszow
RZH, Rusia,Preobrazheniye
RZR, Corri,Ramsar
SAB, Caribe Paises Bajos,Isla de Saba
SAE, Groenlandia,Saattut
SAF, Estados Unidos,Santa Fe
SAG, India,Shirdi
SAH, Yemen,Sana'a
SAL, El Salvador,San Salvador
SAN, Estados Unidos,San Diego
SAP, Honduras,San Pedro Sula
SAQ, Bahamas,Andros
SAT, Estados Unidos,San Antonio
SAV, Estados Unidos,Savannah
SAW, pavo,Estambul
SBA, Estados Unidos,Santa Barbara
SBH, San Bartolome,Saint Barthelemy
SBN, Estados Unidos,South Bend
SBP, Estados Unidos,San Luis Obispo
SBR, Australia,Saibai Island
SBW, Malasia,Sibu
SBY, Estados Unidos,Ocean City
SBZ, Rumania,Sibiu
SCC, Estados Unidos,Prudhoe Bay
SCE, Estados Unidos,State College
SCK, Estados Unidos,Stockton
SCL, Chile,Santiago de Chile
SCM, Estados Unidos,Scammon Bay
SCN, Alemania,Saarbrucken
SCO, Kazajstan,Aktau
SCQ, Espana,Santiago de Compostela
SCR, Suecia,Salen - Trysil
SCT, Yemen,Socotra
SCU, Cuba,Santiago de Cuba
SCV, Rumania,Suceava
SCW, Rusia,Syktyvkar
SCY, Ecuador,San Cristobal Island
SCZ, Islas Salomon,Islas Santa Cruz
SDD, Angola,Lubango
SDE, Argentina,Santiago del Estero
SDF, Estados Unidos,Louisville
SDG, Corri,Sanandaj
SDJ, Japon,Sendai
SDK, Malasia,Sandakan
SDL, Suecia,Sundsvall
SDN, Noruega,Sandane
SDP, Estados Unidos,Sand Point
SDQ, Republica Dominicana,Santo Domingo
SDR, Espana,Santander
SDU, Brasil,Rio de Janeiro
SDY, Estados Unidos,Sidney
SEA, Estados Unidos,Seattle
SEB, Libia,Sabha
SEK, Rusia,Srednekolimsk
SEN, Reino Unido,Londres
SET, Brasil,Serra Talhada
SEU, Tanzania,Seronera
SEZ, Seychelles,Mahe
SFA, Tunez,Sfax
SFB, Estados Unidos,Orlando
SFG, San Martin,Saint Martin (Island)
SFJ, Groenlandia,Kangerlussuaq
SFN, Argentina,Santa Fe
SFO, Estados Unidos,San Francisco
SFT, Suecia,Skelleftea
SGC, Rusia,Surgut
SGD, Dinamarca,Snderborg
SGF, Estados Unidos,Springfield
SGG, Groenlandia,Sermiligaaq
SGN, Vietnam,Ciudad Ho Chi Minh
SGO, Australia,Saint George
SGU, Estados Unidos,St. George
SGX, Tanzania,Songea
SGY, Estados Unidos,Skagway
SHA, China,Shanghai
SHB, Japon,Nakashibetsu
SHD, Estados Unidos,Staunton
SHE, China,Shenyang
SHF, China,Shihezi
SHG, Estados Unidos,Shungnak
SHH, Estados Unidos,Shishmaref
SHI, Japon,Shimojishima
SHJ, Emiratos Arabes Unidos,Dubai
SHL, India,Shillong
SHM, Japon,Shirahama
SHO, Swazilandia,Manzini
SHR, Estados Unidos,Sheridan
SHS, China,Jingzhou
SHV, Estados Unidos,Shreveport
SHW, Arabia Saudita,Sharurah
SHX, Estados Unidos,Shageluk
SID, Cabo Verde,Isla de Sal
SIF, Bara,Simara
SIG, Puerto Rico,San Juan
SIN, Singapur,Singapore
SIP, Ucrania,Simferopol
SIS, Sudafrica,Dingleton
SIT, Estados Unidos,Sitka
SIU, Nicaragua,Siuna
SJC, Estados Unidos,San Jose
SJD, Mexico,San Jose del Cabo
SJE, Colombia,San Jose del Guaviare
SJI, Filipinas,San Jose de Labangan
SJJ, Bosnia-Herzegovina,Sarajevo
SJL, Brasil,Sao Gabriel da Cachoeira
SJO, Costa Rica,San Jose
SJP, Brasil,Sao Jose do Rio Preto
SJT, Estados Unidos,San Angelo
SJU, Puerto Rico,San Juan
SJW, China,Shijiazhuang
SJZ, Portugal,Sao Jorge Island
SKB, St. Kitts y Nevis,Saint Kitts
SKD, Uzbekistan,Samarcanda
SKG, Grecia,Salonica
SKH, Nepal,Surkhet
SKK, Estados Unidos,Shaktoolik
SKN, Noruega,Stokmarknes
SKO, Nigeria,Sokoto
SKP, Republica de Macedonia del Norte,Skopie
SKT, Pakistan,Sialkot
SKU, Grecia,Skyros
SKX, Rusia,Saransk
SKZ, Pakistan,Sukkur
SLA, Argentina,Salta
SLC, Estados Unidos,Salt Lake City
SLH, Vanuatu,Sola
SLI, Zambia,Solwezi
SLK, Estados Unidos,Saranac Lake
SLL, Oman,Salalah
SLM, Espana,Salamanca
SLN, Estados Unidos,Salina
SLP, Mexico,San Luis Potosi
SLQ, Estados Unidos,Sleetmute
SLU, Santa Lucia,Millet
SLX, Turks Islands,Salt Cay
SLY, Rusia,Salejard
SLZ, Brasil,Sao Luis
SMA, Portugal,Santa Maria Island
SMF, Estados Unidos,Sacramento
SMI, Grecia,Samos
SMK, Estados Unidos,St. Michael
SML, Bahamas,Stella Maris
SMQ, Indonesia,Sampit
SMR, Colombia,Santa Marta
SMS, Madagascar,Isla Santa Maria
SMT, Brasil,Sorriso
SMX, Estados Unidos,Santa Maria
SNA, Estados Unidos,Santa Ana
SNN, Irlanda,Shannon
SNO, Tailandia,Sakon Nakhon
SNP, Estados Unidos,St. Paul
SNR, Francia,Saint-Nazaire
SNU, Cuba,Santa Clara
SNW, Myanmar (Burma),Thandwe
SOC, Indonesia,Surakarta
SOF, Bulgaria,Sofia
SOG, Noruega,Sogndal
SOJ, Noruega,Srkjosen
SON, Vanuatu,Luganville
SOQ, Indonesia,Sorong
SOU, Reino Unido,Southampton
SOV, Estados Unidos,Seldovia
SOW, Estados Unidos,Show Low
SPB, Islas Virgenes de EE.UU,Saint Thomas
SPC, Espana,Santa Cruz de La Palma
SPD, Bangladesh,Saidpur
SPI, Estados Unidos,Springfield
SPN, Islas Marianas del Norte,Saipan
SPR, Belice,San Pedro
SPS, Estados Unidos,Wichita Falls
SPU, Croacia,Split
SPY, Costa de Marfil,San Pedro
SQD, China,Shangrao
SQG, Indonesia,Sintang
SQJ, China,Sanming
SRA, Brasil,Santa Rosa
SRE, Bolivia,Sucre
SRG, Indonesia,Semarang
SRH, Chad,Sarh
SRK, Groenlandia,Siorapaluk
SRN, Australia,Strahan
SRP, Noruega,Stord
SRQ, Estados Unidos,Sarasota
SRV, Estados Unidos,Stony River
SRY, Corri,Sari
SSA, Brasil,Salvador de Bahia
SSB, Islas Virgenes de EE.UU,Saint Croix
SSG, Guinea Ecuatorial,Malabo
SSH, Egipto,Sharm el-Sheij
SSJ, Noruega,Sandnessjen
SSR, Vanuatu,Sara
STC, Estados Unidos,St. Cloud
STD, Venezuela,Santo Domingo
STI, Republica Dominicana,Santiago de los Caballeros
STL, Estados Unidos,San Luis
STM, Brasil,Santarem
STN, Reino Unido,Londres
STR, Alemania,Stuttgart
STS, Estados Unidos,Santa Rosa
STT, Islas Virgenes de EE.UU,Saint Thomas
STV, India,Surat
STW, Rusia,Stavropol
STX, Islas Virgenes de EE.UU,Saint Croix
SUB, Indonesia,Surabaya
SUF, Italia,Lamezia Terme
SUG, Filipinas,Surigao
SUJ, Rumania,Satu Mare
SUK, Rusia,Batagay-Alyta
SUN, Estados Unidos,Sun Valley
SUR, Canada,Nibinamik First Nation
SUV, Fiji,Suva
SUX, Estados Unidos,Sioux City
SUY, Rusia,Suntar
SVA, Estados Unidos,Savoonga
SVB, Madagascar,Sambava
SVC, Estados Unidos,Silver City
SVD, San Vicente y las Granadinas,Saint Vincent
SVG, Noruega,Stavanger
SVI, Colombia,San Vicente Del Caguan
SVJ, Noruega,Svolvr
SVL, Finlandia,Savonlinna
SVO, Rusia,Moscu
SVQ, Espana,Sevilla
SVR, Groenlandia,Savissivik
SVU, Fiji,Savusavu
SVX, Rusia,Ekaterimburgo
SWA, China,Shantou
SWF, Estados Unidos,Nueva York
SWJ, Vanuatu,South West Bay
SWL, Filipinas,San Vicente
SWO, Estados Unidos,Stillwater
SWQ, Indonesia,Sumbawa Besar
SWV, Rusia,Evensk
SXB, Francia,Estrasburgo
SXK, Indonesia,Saumlaki
SXM, Sint Maarten,Lower Prince's Quarter
SXO, Brasil,Sao Felix do Araguaia
SXR, India,Srinagar
SXZ, pavo,Siirt
SYB, Estados Unidos,Seal Bay
SYD, Australia,Sidney
SYJ, Corri,Sirjan
SYM, China,Simao District
SYO, Japon,Shonai
SYR, Estados Unidos,Siracusa
SYS, Rusia,Saskylakh
SYU, Australia,Warraber
SYX, China,Sanya
SYY, Reino Unido,Stornoway
SYZ, Corri,Shiraz
SZB, Malasia,Kuala Lumpur
SZE, Etiopia,Semera
SZF, pavo,Samsun
SZG, Austria,Salzburgo
SZK, Sudafrica,Skukuza
SZX, China,Shenzhen
SZY, Szczytno County,Szymany
SZZ, Polonia,Szczecin
TAB, Trinidad y Tobago,Tobago
TAC, Filipinas,Tacloban
TAE, Corea del Sur,Daegu
TAG, Filipinas,Tagbilaran
TAH, Vanuatu,Tanna
TAK, Japon,Takamatsu
TAL, Estados Unidos,Tanana
TAM, Mexico,Tampico
TAO, China,Qingdao
TAP, Mexico,Tapachula
TAS, Uzbekistan,Taskent
TAT, Eslovaquia,Poprad
TAY, Estonia,Tartu
TAZ, Turkmenistan,Dasoguz
TBB, Vietnam,Tuy Hoa
TBF, Kiribati,Tabiteuea
TBG, Papua Nueva Guinea,Tabubil
TBH, Filipinas,Isla Tablas
TBI, Bahamas,New Bight
TBN, Estados Unidos,Fort Leonard Wood
TBO, Tanzania,Tabora
TBP, Peru,Tumbes
TBS, Georgia,Tiflis
TBT, Brasil,Tabatinga
TBU, Tonga,Nukualofa
TBW, Rusia,Tambov
TBZ, Corri,Tabriz
TCA, Australia,Tennant Creek
TCB, Bahamas,Treasure Cay
TCG, China,Tacheng
TCO, Colombia,Tumaco
TCQ, Peru,Tacna
TCR, India,Thoothukudi
TCT, Estados Unidos,Takotna
TCX, Corri,Tabas
TCZ, China,Tengchong
TDD, Bolivia,Trinidad
TDK, Kazajstan,Taldykorgan
TDX, Tailandia,Provincia de Trat
TEB, Estados Unidos,Teterboro
TEE, Argelia,Tebessa
TEF, Australia,Telfer Mine
TEI, India,Tezu
TEK, Estados Unidos,Tatitlek
TEN, China,Tong ren
TEQ, pavo,Tekirdag
TER, Portugal,Isla Terceira
TET, Mozambique,Tete
TEX, Estados Unidos,Telluride
TEZ, India,Tezpur
TFF, Brasil,Tefe
TFI, Papua Nueva Guinea,Tufi
TFN, Espana,Tenerife
TFS, Espana,Tenerife
TFU, China,Chengdu
TGC, Malasia,Tanjung Manis
TGD, Montenegro,Podgorica
TGG, Malasia,Kuala Terengganu
TGH, Vanuatu,Tongoa
TGI, Peru,Tingo Maria
TGJ, Nueva Caledonia,Isla Tiga
TGM, Rumania,Targu Mures
TGO, China,Tongliao
TGP, Rusia,Podkamennaya Tunguska
TGQ, Brasil,Tangara da Serra
TGR, Argelia,Touggourt
TGT, Tanzania,Tanga
TGU, Honduras,Tegucigalpa
TGZ, Mexico,Tuxtla Gutierrez
THD, Vietnam,Thanh Hoa
THE, Brasil,Teresina
THO, Islandia,Thorshofn
THQ, China,Tianshui
THR, Corri,Tehran
THS, Tailandia,Provincia de Sukhothai
THU, Groenlandia,Pituffik
THX, Rusia,Turujansk
TIA, Albania,Tirana
TID, Argelia,Tiaret
TIF, Arabia Saudita,Taif
TIH, Polinesia frances,Tikehau
TII, Afganistan,Tarin Kowt
TIJ, Mexico,Tijuana
TIM, Indonesia,Kota Timika
TIN, Argelia,Tinduf
TIR, India,Tirupati
TIU, Nueva Zelanda,Timaru
TIV, Montenegro,Tivat
TIZ, Papua Nueva Guinea,Tari
TJA, Bolivia,Tarija
TJH, Japon,Toyooka
TJL, Brasil,Tres Lagoas
TJM, Rusia,Tiumen
TJN, Polinesia frances,Takume
TJQ, Indonesia,Tanjung Pandan
TJU, Tayikistan,Kulob
TKD, Ghana,Sekondi-Takoradi
TKE, Estados Unidos,Tenakee Springs
TKG, Indonesia,Bandar Lampung
TKJ, Estados Unidos,Tok
TKK, micronesia,Chuuk State
TKN, Japon,Tokunoshima
TKP, Polinesia frances,Takapoto
TKQ, Tanzania,Kigoma
TKS, Japon,Tokushima
TKU, Finlandia,Turku
TKV, Polinesia frances,Tatakoto
TKX, Polinesia frances,Takaroa
TLA, Estados Unidos,Teller
TLC, Mexico,Toluca
TLE, Madagascar,Toliara
TLH, Estados Unidos,Tallahassee
TLI, Indonesia,Tolitoli
TLK, Rusia,Vitim
TLL, Estonia,Tallin
TLM, Argelia,Tlemcen
TLN, Francia,Tolon
TLQ, China,Turfan
TLS, Francia,Toulouse
TLT, Estados Unidos,Tuluksak
TLU, Colombia,Tolu
TLV, Israel,Tel Aviv
TLY, Rusia,Plastun
TMC, Indonesia,Tambolaka
TME, Colombia,Tame
TMI, Nepal,Tumlingtar
TMJ, Uzbekistan,Termez
TML, Ghana,Tamale
TMM, Madagascar,Toamasina
TMN, Kiribati,Tamana
TMP, Finlandia,Tampere
TMR, Argelia,Tamanrasset
TMS, Santo Tome y Principe,Santo Tome
TMT, Brasil,Porto Trombetas
TMU, Costa Rica,Tambor
TMW, Australia,Tamworth
TMX, Argelia,Timimoun
TNA, China,Jinan
TNC, Estados Unidos,Tin City
TNE, Japon,Tanegashima
TNG, Marruecos,Tanger
TNH, China,Tonghua
TNJ, Indonesia,Tanjung Pinang
TNK, Estados Unidos,Tununak
TNN, Taiwan,Tainan
TNO, Costa Rica,Tamarindo
TNR, Madagascar,Antananarivo
TOE, Tunez,Tozeur
TOF, Rusia,Tomsk
TOH, Vanuatu,Islas Torres
TOL, Estados Unidos,Toledo
TOS, Noruega,Troms
TOW, Brasil,Toledo
TOY, Japon,Toyama
TPA, Estados Unidos,Tampa
TPE, Taiwan,Taipei
TPP, Peru,Tarapoto
TPQ, Mexico,Tepic
TPS, Italia,Trapani
TQA, Groenlandia,Tasiusaq
TQI, Groenlandia,Tiniteqilaaq
TQR, Italia,San Domino Island
TRC, Mexico,Torreon
TRD, Noruega,Trondheim
TRE, Reino Unido,Tiree
TRF, Noruega,Oslo
TRG, Nueva Zelanda,Tauranga
TRI, Estados Unidos,Bristol
TRK, Indonesia,Tarakan
TRM, Estados Unidos,Palm Springs
TRN, Italia,Turin
TRO, Australia,Taree
TRR, Sri Lanka,Trincomalee
TRS, Italia,Trieste
TRT, Indonesia,Tana Toraja
TRU, Peru,Trujillo
TRV, India,Thiruvananthapuram
TRW, Kiribati,Tarawa Sur (Bairiki)
TRZ, India,Tiruchirappalli
TSA, Taiwan,Taipei
TSF, Italia,Venecia
TSJ, Japon,Tsushima
TSM, Estados Unidos,Taos
TSN, China,Tianjin
TSR, Rumania,Timisoara
TST, Thailand,Trang
TSU, Kiribati,Tabiteuea South
TSV, Australia,Townsville
TTE, Indonesia,Ternate City
TTJ, Japon,Tottori
TTN, Estados Unidos,Trenton
TTQ, Costa Rica,Tortuguero
TTT, Taiwan,Taitung County
TTU, Marruecos,Tetuan
TTX, Australia,
TUB, Polinesia frances,Tubuai
TUC, Argentina,San Miguel de Tucuman
TUF, Francia,Tours
TUG, Filipinas,Tuguegarao
TUI, Arabia Saudita,Turaif
TUK, Pakistan,Turbat
TUL, Estados Unidos,Tulsa
TUN, Tunez,Tunis
TUO, Nueva Zelanda,Taupo
TUP, Estados Unidos,Tupelo
TUR, Brasil,Tucurui
TUS, Estados Unidos,Tucson
TUU, Arabia Saudita,Tabuk
TVC, Estados Unidos,Traverse City
TVF, Estados Unidos,Thief River Falls
TVS, China,Tangshan
TVU, Fiji,Taveuni
TVY, Myanmar (Burma),Dawei Township
TWC, China,Tumxuk
TWF, Estados Unidos,Twin Falls
TWT, Filipinas,Tawi-Tawi
TWU, Malasia,Tawau
TXF, Brasil,Teixeira de Freitas
TXK, Estados Unidos,Texarkana
TXN, China,Huangshan
TYD, Rusia,Tynda
TYF, Suecia,Torsby
TYL, Peru,Talara
TYN, China,Taiyuan
TYR, Estados Unidos,Tyler
TYS, Estados Unidos,Knoxville
TZA, Belice,Ciudad de Belice
TZL, Bosnia-Herzegovina,Tuzla
TZN, Bahamas,South Andros
TZX, pavo,Trebisonda
UAK, Groenlandia,Narsarsuaq
UAQ, Argentina,San Juan
UAS, Kenia,Condado de Samburu
UBA, Brasil,Uberaba
UBB, Australia,Mabuiag
UBJ, Japon,Ube
UBN, Mongolia,Ulaanbaatar
UBP, Tailandia,Provincia de Ubon Ratchathani
UBU, Australia,Kalumburu
UCB, China,Ulanqab
UCT, Rusia,Ujta
UDI, Brasil,Uberlandia
UDJ, Ucrania,Uzhhorod
UDR, India,Udaipur
UEL, Mozambique,Quelimane
UEO, Japon,Isla Kume
UET, Pakistan,Quetta
UFA, Rusia,Ufa
UGC, Uzbekistan,Urgench
UGI, Estados Unidos,Uganik
UIB, Colombia,Quibdo
UIH, Vietnam,Quy Nhon
UII, Honduras,Utila
UIN, Estados Unidos,Quincy
UIO, Ecuador,Quito
UIP, Francia,Quimper
UKA, Kenia,Ukunda
UKB, Japon,Kobe
UKG, Rusia,Ust-Kuyga
UKK, Kazajstan,Oskemen
UKX, Rusia,Ust-Kut
ULB, Vanuatu,Toak
ULG, Mongolia,Olgiy
ULH, Arabia Saudita,Al-Ula
ULK, Rusia,Lensk
ULN, Mongolia,Ulan Bator
ULO, Mongolia,Ulaangom
ULP, Australia,Quilpie
ULV, Rusia,Ulianovsk
ULZ, Mongolia,Uliastai
UMD, Groenlandia,Uummannaq
UME, Suecia,Umea
UNA, Brasil,Una
UND, Afganistan,Kunduz
UNG, Papua Nueva Guinea,Kiunga
UNK, Estados Unidos,Unalakleet
UNN, Tailandia,Provincia de Ranong
UOL, Indonesia,Buol
UPG, Indonesia,Macasar
UPK, Groenlandia,Upernavik
UPN, Mexico,Uruapan
URA, Kazajstan,Oral
URC, China,Urumchi
URE, Estonia,Kuressaare
URG, Brasil,Uruguayana
URJ, Rusia,Uray
URS, Rusia,Kursk
URT, Tailandia,Provincia de Surat Thani
URY, Saudi Arabia,Qurayyat
USA, Estados Unidos,Concord
USH, Argentina,Ushuaia
USJ, Kazajstan,Usharal
USK, Rusia,Usinsk
USM, Tailandia,Ko Samui
USN, Corea del Sur,Ulsan
USR, Rusia,Ust-Nera
UST, Estados Unidos,St. Augustine
USU, Filipinas,Busuanga
UTH, Tailandia,Udon Thani
UTN, Sudafrica,Upington
UTP, Tailandia,Pattaya
UTS, Rusia,Ust-Tsilma
UTT, Sudafrica,Mthatha
UUA, Rusia,Bugulma
UUD, Rusia,Ulan-Ude
UUS, Rusia,Yuzhno-Sajalinsk
UVE, Nueva Caledonia,Ouvea
UVF, Santa Lucia,Millet
UYL, Sudan,Nyala
UYN, China,Yulin
UYU, Bolivia,Uyuni
VAA, Finlandia,Vaasa
VAI, Papua Nueva Guinea,Vanimo
VAK, Estados Unidos,Chevak
VAM, Maldivas,Maamigili
VAN, pavo,Van
VAO, Islas Salomon,Suavanao
VAR, Bulgaria,Varna
VAS, pavo,Sivas
VAV, Tonga,Vavau
VAW, Noruega,Vard
VBA, Myanmar (Burma),Ann
VBV, Fiji,Vanua Balavu
VBY, Suecia,Visby
VCA, Vietnam,Can Tho
VCC, Brasil,
VCE, Italia,Venecia
VCL, Vietnam,Chu Lai
VCP, Brasil,Sao Paulo
VCS, Vietnam,Con Son Island
VCT, Estados Unidos,Victoria
VDC, Brasil,Vitoria da Conquista
VDE, Espana,Valverde
VDH, Vietnam,ong Hoi
VDM, Argentina,Viedma
VDO, Vietnam,Ha Long
VDS, Noruega,Vads
VDY, India,Toranagallu
VDZ, Estados Unidos,Valdez
VEE, Estados Unidos,Venetie
VEL, Estados Unidos,Vernal
VER, Mexico,Veracruz
VFA, Zimbabue,Victoria Falls
VGA, India,Vijayawada
VGD, Rusia,Vologda
VGO, Espana,Vigo
VGZ, Colombia,Villagarzon
VHC, Angola,Saurimo
VHM, Suecia,Vilhelmina
VHV, Rusia,Verjneviliuisk
VHZ, Polinesia frances,Vahitahi
VIE, Austria,Viena
VIF, Italia,Vieste
VIG, Venezuela,El Vigia
VII, Vietnam,Vinh
VIJ, Islas Virgenes Britanicas,Virgin Gorda
VIL, Sahara Occidental,Dakhla
VIT, Espana,Vitoria
VIX, Brasil,Vitoria
VKG, Vietnam,Rach Gia
VKO, Rusia,Moscu
VKT, Rusia,Vorkuta
VLC, Espana,Valencia
VLD, Estados Unidos,Valdosta
VLI, Vanuatu,Port Vila
VLL, Espana,Valladolid
VLN, Venezuela,Valencia
VLS, Vanuatu,Valesdir
VLY, Reino Unido,Isla de Anglesey
VNE, Francia,Vannes
VNO, Lituania,Vilna
VNS, India,Benares
VNX, Mozambique,Vilanculos
VOG, Rusia,Volgogrado
VOL, Grecia,Volos
VOZ, Rusia,Voronezh
VPE, Angola,Ondjiva
VPG, Kenia,Kikambala
VPN, Islandia,Vopnafjorur
VPS, Estados Unidos,Destin
VPY, Mozambique,Chimoio
VQS, Estados Unidos,Vieques
VRA, Cuba,Varadero
VRB, Estados Unidos,Vero Beach
VRC, Catanduanes,Virac
VRL, Portugal,Vila Real
VRN, Italia,Verona
VRY, Noruega,Vry
VSA, Mexico,Villahermosa
VSE, Portugal,Viseu
VST, Suecia,Estocolmo
VTE, Laos,Vientian
VTZ, India,Visakhapatnam
VUP, Colombia,Valledupar
VUU, Malawi,Liwonde Mvuu Camp
VVC, Colombia,Villavicencio
VVI, Bolivia,Santa Cruz de la Sierra
VVO, Rusia,Vladivostok
VVZ, Argelia,Illizi
VXC, Mozambique,Lichinga
VXE, Cabo Verde,Isla de Sao Vicente
VXO, Suecia,Vaxjo
VYI, Rusia,Viliuisk
WAA, Estados Unidos,Wales
WAE, Arabia Saudita,Wadi ad-Dawasir
WAG, Nueva Zelanda,Whanganui
WAW, Polonia,Varsovia
WBB, Estados Unidos,Stebbins
WBM, Papua Nueva Guinea,Wapenamanda District
WDH, Namibia,Windhoek
WDS, China,Shiyan
WEF, China,Weifang
WEH, China,Weihai
WEI, Australia,Weipa
WGA, Australia,Wagga Wagga
WGE, Australia,Walgett
WGN, China,Shaoyang
WGP, Indonesia,Waingapu
WHA, China,Wuhu Xuanzhou
WHK, Nueva Zelanda,Whakatane
WIL, Kenia,Nairobi
WIN, Australia,Winton
WJA, Islas Marshall,Woja
WJR, Kenia,Wajir
WJU, Corea del Sur,Wonju
WKA, Nueva Zelanda,Wanaka
WKJ, Japon,Wakkanai
WLG, Nueva Zelanda,Wellington
WLH, Vanuatu,Walaha
WLK, Estados Unidos,Selawik
WLS, Wallis y Futuna,Wallis Island
WMI, Polonia,Varsovia
WMN, Madagascar,Maroantsetra
WMO, Estados Unidos,White Mountain
WMT, China,Zunyi
WMX, Indonesia,Wamena
WNA, Estados Unidos,Napakiak
WNH, China,Wenshan
WNI, Indonesia,Wangi-wangi Island
WNN, Canada,Wunnummin Lake
WNP, Filipinas,Naga
WNR, Australia,Windorah
WNZ, China,Wenzhou
WOL, Australia,Wollongong
WPR, Chile,Porvenir
WPU, Chile,Puerto Williams
WRE, Nueva Zelanda,Whangarei
WRG, Estados Unidos,Wrangell
WRO, Polonia,Breslavia
WRZ, Sri Lanka,Weerawila
WSK, China,Wushan
WSN, Estados Unidos,South Naknek
WSP, Nicaragua,Waspam
